time,Open,High,Low,Close,Volume
02.09.2019 06:42:00.000,36.5,36.85,36.3,36.6,146790.0016
02.09.2019 06:45:00.000,36.8,37.55,36.7,37.5,99869.9991
02.09.2019 06:48:00.000,37.5,37.6,36.6,36.6,81360.0011
02.09.2019 06:51:00.000,36.7,36.85,36.4,36.55,97189.9983
02.09.2019 06:54:00.000,36.3,36.4,36,36,113800.0004
02.09.2019 06:57:00.000,36.05,36.15,35.05,35.35,167810.0004
02.09.2019 07:00:00.000,35.3,35.4,34.1,34.8,91630.0007
02.09.2019 07:03:00.000,35,35.8,34.95,35.75,93609.9999
02.09.2019 07:06:00.000,36.2,36.65,35.45,35.65,59429.9995
02.09.2019 07:09:00.000,35.5,35.6,34.6,34.95,66199.9993
02.09.2019 07:12:00.000,35,35.2,32.95,33.4,90020.0009
02.09.2019 07:15:00.000,33.5,33.95,32.1,33.65,45979.9999
02.09.2019 07:18:00.000,33.65,34.05,33.45,33.95,49780.0009
02.09.2019 07:21:00.000,33.9,33.9,33.1,33.5,203759.9981
02.09.2019 07:24:00.000,33.15,33.35,32.7,32.8,182439.9997
02.09.2019 07:27:00.000,32.9,33.45,32.75,33.1,97650.0008
02.09.2019 07:30:00.000,33.65,34.35,33.5,34.1,134939.9983
02.09.2019 07:33:00.000,34.7,35.95,34.45,35.75,67090.0009
02.09.2019 07:36:00.000,35.95,36,35.1,35.4,66799.9992
02.09.2019 07:39:00.000,34.8,35.25,34.55,34.7,72680.0012
02.09.2019 07:42:00.000,34.75,35.15,34.4,34.6,65040.0016
02.09.2019 07:45:00.000,34.4,34.5,33.95,34.25,76129.9981
02.09.2019 07:48:00.000,34.15,34.25,33.75,34.15,50539.9993
02.09.2019 07:51:00.000,33.9,34,33.5,33.65,70059.9999
02.09.2019 07:54:00.000,33.65,34,33.5,33.65,79180.0003
02.09.2019 07:57:00.000,33.55,34.1,33.4,33.9,96219.9997
02.09.2019 08:00:00.000,34.25,35,34.25,34.35,43650.0013
02.09.2019 08:03:00.000,34.25,34.35,33.7,33.95,33439.9995
02.09.2019 08:06:00.000,33.6,33.7,33.1,33.3,16170.0007
02.09.2019 08:09:00.000,33.5,34.4,33.35,34,145139.9997
02.09.2019 08:12:00.000,34.4,34.75,33.8,33.8,65749.9991
02.09.2019 08:15:00.000,33.15,33.8,33.15,33.5,71540.0017
02.09.2019 08:18:00.000,33.1,33.35,32.75,33.15,56749.9995
02.09.2019 08:21:00.000,32.9,33.45,32.8,33.45,51350.0003
02.09.2019 08:24:00.000,32.8,33.25,32.6,33.1,65790.0014
02.09.2019 08:27:00.000,33.3,33.55,32.8,32.85,25150.0002
02.09.2019 08:30:00.000,33.1,33.2,32.75,33,55580.0013
02.09.2019 08:33:00.000,32.5,32.7,32.3,32.7,67500.0008
02.09.2019 08:36:00.000,32.8,32.9,32.4,32.4,65829.9979
02.09.2019 08:39:00.000,32.15,32.45,32.15,32.25,31179.9999
02.09.2019 08:42:00.000,32.15,32.3,32.1,32.2,19479.9996
02.09.2019 08:45:00.000,32.05,32.3,32,32.05,43010.001
02.09.2019 08:48:00.000,32,32.15,31.65,31.75,30230.0004
02.09.2019 08:51:00.000,31.75,31.75,30.8,30.9,37540.0008
02.09.2019 08:54:00.000,30.9,31.4,30.85,30.95,123640.0026
02.09.2019 08:57:00.000,30.25,30.45,29.3,29.3,89600.0005
02.09.2019 09:00:00.000,28.5,28.8,28.3,28.7,108489.9976
02.09.2019 09:03:00.000,28.45,28.8,27.5,28.75,62909.9999
02.09.2019 09:06:00.000,28.45,28.65,27.9,28.6,48399.9998
02.09.2019 09:09:00.000,28.55,28.7,27.9,28.2,64470.0005
02.09.2019 09:12:00.000,28.35,31.3,28.25,30.8,43859.9996
02.09.2019 09:15:00.000,30.85,31.4,30,30,19940
02.09.2019 09:18:00.000,30.5,30.5,29.65,29.8,22710
02.09.2019 09:21:00.000,30.7,31.9,30.7,31,42309.9995
02.09.2019 09:24:00.000,31.1,31.2,30.75,31.05,111839.9985
02.09.2019 09:27:00.000,31.05,31.6,31,31.55,83319.9993
02.09.2019 09:30:00.000,31.8,31.8,31.2,31.4,66659.9991
02.09.2019 09:33:00.000,31.5,31.55,31,31.45,35369.9997
02.09.2019 09:36:00.000,31.4,31.7,31.05,31.45,55400
